Raw file	Experiment	MS/MS	MS/MS Identified	MS/MS Identified [%]	Peptide Sequences Identified
09_Colon_M#36					10135
09_Colon_M#37					11022
09_Colon_M#38					10965
09_Colon_M#39					9597
09_Colon_M#40					11129
09_Colon_M#41					9019
09_Colon_M#42					10573
09_Colon_M#43					9767
09_Colon_M#44					10135
09_Colon_M#45					10581
09_Colon_M#46					10408
09_Colon_M#47					10036
09_Colon_M#48					10558
09_Colon_M#49					8846
09_Colon_M#50					10002
09_Colon_M#51					10727
09_Colon_M#52					9805
09_Colon_M#53					9563
09_Colon_M#54					10503
09_Colon_M#55					8724
09_Colon_M#56					10253
09_Colon_M#57					11193
09_Colon_M#58					11733
09_Colon_M#59					11646
09_Colon_M#60					11153
09_Colon_M#61					11547
09_Colon_M#64					10757
09_Colon_M#65					10836
09_Colon_M#66					11640
09_Colon_M#67					11013
09_Colon_M#68					10649
09_Colon_M#69					9541
09_Colon_M#70					4399
09_Colon_M#71					11532
09_Colon_M#72					10725
09_Colon_M#73					9533
09_Colon_M#74					10245
09_Colon_M#75					8705
09_Colon_M#76					10747
09_Colon_M#77					9527
09_Colon_M#78					10159
09_Colon_M#79					9741
09_Colon_M#80					7381
12_Colon_M#01					8154
12_Colon_M#02					10700
12_Colon_M#03					8446
12_Colon_M#04					6476
12_Colon_M#06					8738
12_Colon_M#07					8496
12_Colon_M#10					8420
12_Colon_M#14					8929
12_Colon_M#16					9240
12_Colon_M#18					8050
12_Colon_M#19					8158
12_Colon_M#20					9104
12_Colon_M#22					8913
12_Colon_M#23					8183
12_Colon_M#24					8152
12_Colon_M#30					9086
12_Colon_M#32					8848
12_Colon_M#33					7757
12_Colon_M#34					8214
12_Colon_M#35					7988
12_Colon_M#36					7876
12_Colon_M#37					8782
12_Colon_M#38					8863
12_Colon_M#39					8870
12_Colon_M#40					8106
12_Colon_M#41					7631
12_Colon_M#42					9113
12_Colon_M#44_5					8476
12_Colon_M#49					7448
12_Colon_M#55					7244
12_Colon_M#59_5					8255
12_Colon_M#62_5					6781
12_Colon_M#63					9239
12_Colon_M#70					3762
12_Colon_M#73_5					7890
12_Colon_M#74					8407
12_Colon_M#75					7142
12_Colon_M#76_5					7758
12_Colon_M#80					7535
Total		8893797	2266520	20.9	35921
