Protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity P1_GLU	Intensity P10_FOS	Intensity P11_CYC	Intensity P12_GLU	Intensity P13_PBS	Intensity P14_CYC	Intensity P2_GLU	Intensity P3_PBS	Intensity P4_BAS1	Intensity P5_CYC	Intensity P6_FOS	Intensity P7_FOS	Intensity P8_PBS	Intensity P9_BAS2	Only identified by site	Reverse	Potential contaminant	id
MH0425_GL0117863;290338.CKO_03692;585396.ECO111_5070;469613.HMPREF0864_02705;1045856.EcWSU1_00345;V1.UC21-4_GL0025859;NLM027_GL0059615;MH0247_GL0137574;MH0008_GL0034235;MH0345_GL0018265;O2.UC55-2_GL0076331;SZEY-22A_GL0055855;V1.UC39-4_GL0050840;V1.CD3-0-PT_GL0073188;V1.CD3-0-PT_GL0043270;MH0122_GL0105624	6	4	13.207	244020000	0	0	39433000	0	30053000	44174000	0	30532000	0	31975000	0	0	67849000	0				24
V1.FI24_GL0020144;V1.CD3-0-PT_GL0065026;MH0367_GL0097642;SZEY-81A_GL0014384;ED19A_GL0015601;469595.CSAG_03029;V1.UC39-4_GL0016693;V1.UC21-4_GL0006018;V1.CD3-0-PT_GL0063334;V1.CD3-0-PT_GL0002772;T2D-77A_GL0030463;T2D-108A_GL0136352;SZEY-40A_GL0027069;NLM027_GL0000173;MH0415_GL0126448;MH0277_GL0018786;MH0260_GL0113467;MH0008_GL0010320;585054.EFER_3213;469613.HMPREF0864_02793;290338.CKO_04641;364106.UTI89_C3667	2	2	2.682	18914000	0	0	4538700	0	0	0	0	7021500	0	0	0	0	7353700	0				25
V1.CD7-0-PN_GL0003825;MH0372_GL0113362;334390.LAF_1482	1	1	2.6088	9012600	0	0	0	0	0	0	0	0	9012600	0	0	0	0	0				26
339860.Msp_0168	1	1	1.5451	197880000	17586000	33742000	5809800	16900000	20854000	0	0	14563000	0	0	39008000	47477000	1944300	0				27
360104.CCC13826_0095;V1.CD44-0_GL0066114	2	2	21.659	625410000	69555000	48795000	18341000	86576000	32763000	7949300	76176000	28927000	55248000	69759000	53282000	38709000	22111000	17219000				28
360107.CHAB381_1672	3	1	1.7025	15628000	0	0	0	8560400	0	0	7067700	0	0	0	0	0	0	0				29
367928.BAD_0348;V1.CD7-0-PN_GL0000485;MH0356_GL0101106	2	2	6.4071	205570000	46235000	26450000	0	27493000	330940	406550	77222000	7273500	0	4451300	9299800	0	6403600	0				30
V1.FI37_GL0030438;367928.BAD_0742;V1.FI01_GL0084883;V1.CD7-0-PN_GL0040337;V1.CD40-0_GL0001242;O2.UC17-1_GL0113403;391904.BLIJ_1630;MH0330_GL0174601;DLF012_GL0026869	2	1	6.3671	205080000	53090000	21469000	2771800	42642000	0	0	48402000	0	0	0	12543000	24166000	0	0				31
T2D-14A_GL0088100;MH0191_GL0127625;DOM003_GL0022691;T2D-126A_GL0027159;367928.BAD_1486;DOM018_GL0012807;473819.BIFDEN_01112	2	2	3.9706	149670000	8167000	24149000	10857000	5472600	0	11656000	12476000	0	0	12550000	23613000	40728000	0	0				32
V1.UC11-5_GL0150524;O2.UC47-2_GL0057728;401473.BDP_0367;O2.UC36-0_GL0060425;V1.FI29_GL0006683;MH0131_GL0070829;O2.UC22-1_GL0088778;MH0250_GL0268100;O2.CD1-0-PT_GL0059495;V1.FI14_GL0054606;518634.BIFBRE_03257;T2D-106A_GL0033247;V1.CD40-0_GL0044287	2	1	2.0397	18729000	4790600	0	0	0	4010600	0	9927400	0	0	0	0	0	0	0				33
401473.BDP_0405	4	4	19.887	541890000	121700000	46535000	15656000	111430000	12440000	14203000	97828000	6699700	3684200	7415700	40875000	57213000	6211900	0				34
MH0198_GL0001242;MH0443_GL0070329;411459.RUMOBE_01327;O2.UC41-1_GL0203023	4	0	2.4147	184170000	0	23367000	0	14721000	9393600	0	19436000	15756000	19455000	0	22119000	27552000	11553000	20816000				35
